topicNo,characterName（<=8）,sentence,CharactorFace,second,MajoTrue,animationName,
0,チョイス,もー！パーティーのためによういしたのに！なんでにげるのぉ〜！？,Normal,2,True,,
0,ルック,たべられたくないからか？,Normal,1,True,,
0,コロン,いや この はんのうは……,Normal,1,True,,
0,リチュ,そうよ！だいまほうつかい リチュさまのチカラ！,Normal,1,True,,
0,ルック,すげえ！まほうでにげたのか！,Normal,1,True,,
0,リチュ,フフン そうよ おいつけるかしら？,Normal,1,True,,
0,ルック,あたりまえだ！,Normal,1,True,,
0,コロン,みんなで おかしにかけられたまほうを といてあげましょ,Normal,1,True,,
1,チョイス,けっこー つかまえたカンジは するけど……,Normal,1,False,,
1,ルック,まだまだパーティーには たりねーな,Normal,1,False,,
1,リチュ,いーっひっひっ！ こいつらはあたしのものよ！,Normal,1,True,,
1,リチュ,ほーら おかしたち！ ついてきなさーい！,Normal,1,True,,
1,チョイス,あっ！ まてー！,Normal,1,True,,
2,リチュ,ぎゃー,Normal,1,True,,
2,ルック,イタズラはここまでだ！,Normal,1,True,,
2,コロン,どうしてこんなことを？,Normal,1,True,,
2,リチュ,だ、だって……,Normal,1,True,,
2,リチュ,まほうで、いっしょにあそびたかったの,Normal,1,True,,
2,ルック,なんだ！そんなことかよ,Normal,1,True,,
2,チョイス,これからおかしパーティーなの リチュもいっしょにどう？,Normal,1,True,,
2,リチュ,ほっ　ほんとう！？,Normal,1,True,,
2,リチュ,コホン……そうね　わるくない ていあんね,Normal,1,True,,
2,リチュ,それじゃあ おちかづきのしるしに……,Normal,1,True,,
2,リチュ,つかまえたおかしを……シールにしてあげる！,Normal,1,True,,
2,効果音,ポポン！,Normal,1,True,,
2,リチュ,だいじにしてね！,Normal,1,True,,
2,ルック,まほうの ちからって すげー！,Normal,1,True,,
2,コロン,かがくの ちからも すごいわよ,Normal,1,True,,
2,チョイス,これって…… わたしたちだけの げきレアシール ってこと！？,Normal,1,True,,
2,リチュ,フフン ここだけのプレゼントなんだから！,Normal,1,True,,
2,コロン,みんなも いっしょにおかしを とりもどしてくれて ありがとう,Normal,1,True,,
2,チョイス,リチュからのおくりものは みんなのぶんもあるよ！,Normal,1,True,,
2,リチュ,おみやげにしてよね！,Normal,1,True,,
2,ルック,またあそぼうな！,Normal,1,True,,
2,全員,バイバーイッ！,Normal,1,True,,
